epoch,acc,loss,lr,val_acc,val_loss
0,0.204090913216,2.59139658429,0.001,0.2,2.6888841266
1,0.185909095339,2.3152980165,0.001,0.2,2.25417083095
2,0.2086363681,2.19441913475,0.001,0.2,2.15184007314
3,0.202727277001,2.14797946594,0.001,0.198181817748,2.14116309204
4,0.197727276723,2.11974106485,0.001,0.2,2.15881399512
5,0.193636367707,2.0885254952,0.001,0.198181817748,2.1046035623
6,0.195000004362,2.07324110324,0.001,0.2,2.05562218753
7,0.190909095244,2.06759692864,0.001,0.0818181812763,2.68794649812
8,0.194545458935,2.08570673682,0.001,0.2,2.04518007406
9,0.199090913649,2.04809165814,0.001,0.2,2.02291551226
10,0.200909095393,2.03431579687,0.001,0.2,2.04534244944
11,0.188181822239,2.04477064013,0.001,0.2,2.04140770747
12,0.202727277137,2.0459478465,0.001,0.2,3.02210856473
13,0.188181822645,2.04838227467,0.001,0.2,2.04611720958
14,0.195000004328,2.0293532805,0.001,0.2,2.01189765117
15,0.198181822557,2.03919868415,0.001,0.1,2.30305506885
16,0.188181822442,2.08133838881,0.001,0.0981818177483,2.89320995808
17,0.194090912897,2.04310536276,0.001,0.2,2.03782179078
18,0.202727276832,2.02807664871,0.001,0.2,2.02627958886
19,0.194090913338,2.04864397808,0.001,0.2,2.13888924569
20,0.1913636404,2.04308962605,0.001,0.2,2.01333835911
21,0.195909095183,2.01554121809,0.000316228,0.2,2.00728071003
22,0.200454549491,2.01059307185,0.000316228,0.2,2.00525623269
23,0.199090913378,2.00926165689,0.000316228,0.2,2.01321475127
24,0.19727273133,2.00691558664,0.000316228,0.2,2.00725241994
25,0.190909095244,2.00712659251,0.000316228,0.2,2.00798268501
26,0.200909095156,2.0069546499,0.000316228,0.2,2.01146300063
27,0.191818185557,2.00730182881,0.000316228,0.2,2.0496701819
28,0.193181821975,2.00618813146,0.000316228,0.2,2.03185663034
29,0.193636367944,1.99771993865,0.0001,0.2,2.0135456791
30,0.187272731316,1.99577751702,0.0001,0.2,2.00610333309
31,0.198181822659,1.99466965524,0.0001,0.2,2.00590299571
32,0.193181822246,1.99532581134,0.0001,0.2,2.00647194528
33,0.197272731669,1.99517186826,0.0001,0.2,2.01942207068
34,0.202272731608,1.99605809342,3.16228e-05,0.2,1.99794089157
35,0.20181818618,1.99246833812,3.16228e-05,0.2,1.99577040598
36,0.195909095285,1.99314296462,3.16228e-05,0.2,2.01382124402
37,0.185909094797,1.99259473736,3.16228e-05,0.2,2.03230753085
38,0.195000004125,1.99108976559,3.16228e-05,0.2,2.02019866173
39,0.195454549417,1.99005947872,3.16228e-05,0.2,2.02056081717
40,0.198636367951,1.99042455391,3.16228e-05,0.2,2.00690946747
41,0.187727276676,1.99055018696,3.16228e-05,0.2,1.99699531778
42,0.193636367843,1.98947031444,1e-05,0.2,1.99555843366
43,0.194090913744,1.98915405382,1e-05,0.2,2.0031430161
44,0.189090913128,1.98920684348,1e-05,0.2,1.99778693713
45,0.192272731662,1.98861379569,1e-05,0.2,2.00215639645
46,0.201363640854,1.9886787615,1e-05,0.2,2.00956640889
47,0.182727276398,1.98847832246,1e-05,0.2,2.00125796497
48,0.181818185645,1.98813104846,1e-05,0.2,1.99859978374
49,0.200909095325,1.9876156704,3.16228e-06,0.2,2.00927277561
50,0.194090913236,1.98767699003,3.16228e-06,0.2,2.01289855381
51,0.205000004646,1.98703183098,3.16228e-06,0.2,2.00244852008
52,0.191363640231,1.98835696849,3.16228e-06,0.2,2.00327264733
53,0.193181822381,1.98779815598,3.16228e-06,0.2,2.00328303758
54,0.197272731601,1.98744638725,1e-06,0.2,1.99741408097
55,0.208181822706,1.98709167134,1e-06,0.2,1.9946448501
56,0.196818186038,1.98757284284,1e-06,0.2,1.99751532936
